Name,NAT gateway ID,Connectivity type,State,State message,Elastic IP address,Private IP address,Network interface ID,VPC,Subnet,Created,Deleted
NAT_VPC_STREAMING,nat-032ccd649a1e9fed1,Public,Available,–,34.254.37.226,10.64.15.212,eni-78f5817f,vpc-9681faf0,subnet-7331c829,"Monday, June 11, 2018, 15:02:20 GMT+2",–
–,nat-0a8e69b68da69b00e,Public,Available,–,63.34.174.3,172.31.11.232,eni-0c9c072a301d14a46,vpc-fd33ff98,subnet-7b49b022,"Tuesday, March 12, 2019, 17:36:06 GMT+1",–
